0a007175657374696f6e0000 ？
0a007469616e5f310000 天
0a007368616e675f310000 上
0a006368616e675f310000 长
0a006368656e675f310000 成
0a0068655f310000 和
0a006875695f320000 回
0a0071756f74655f6c6566740000 “
0a0071756f74655f72696768740000 ”
0a0066656e5f310000 分
0a007a686f6e670000 中
0a0067756f5f310000 国
0a007969310000 一
0a0064756f5f310000 多
0a0067650000 个
0a007368656e0000 什
0a006d650000 么
0a0064650000 的
0a006875695f310000 会
0a0064695f310000 地
0a00636f6d6d610000 ，
0a006e69616e5f310000 年
0a0064615f310000 大
0a007875655f310000 学
0a006a69750000 就
0a007368690000 是
0a006e690000 你
0a007869615f310000 下
0a0073746f700000 。
0a0072695f310000 日
0a0072656e5f310000 人
0a00636f6e675f310000 从
0a006368755f310000 出
0a0062750000 不
0a0064616f0000 到
0a007a68695f310000 只
0a00796f755f310000 有
0a0065725f310000 而
0a007a68695f330000 之
0a007969330000 以
0a007368656e675f310000 生
0a006c616f5f310000 老
0a006a69616e670000 将
0a0079655f310000 也
0a006c655f310000 了
0a0064616e0000 但
0a007765690000 为
0a006475695f310000 对
0a0064655f310000 得
0a007a68650000 这
0a0072750000 如
0a0067756f0000 果
0a0078696e5f310000 心
0a006c61695f310000 来
0a0066615f320000 法
0a0068616f5f310000 好
0a007a695f310000 子
0a00646f6e675f310000 动
0a007a61690000 在
0a00796f755f320000 又
0a0066616e675f310000 方
0a006b650000 可
0a0063695f320000 此
0a006265695f310000 被
0a0079695f310000 己
0a007a68656e675f310000 正
0a00686f750000 后
0a006875610000 话
0a0068656e0000 很
0a006b61695f310000 开
0a0079696e5f310000 因
0a007368695f310000 时
0a007a75690000 最
0a0067756f5f320000 过
0a006861695f310000 还
0a006368616e675f320000 常
0a0071755f310000 去
0a0063695f310000 次
0a0074615f6d616c650000 他
0a0061695f310000 爱
0a00736967680000 ！
0a0068756f5f310000 活
0a007a656e0000 怎
0a006d610000 吗
0a006e610000 那
0a006d656e5f310000 们
0a0062615f310000 把
0a00746f755f310000 头
0a0077755f310000 无
0a007869616f5f310000 小
0a0064616e675f310000 当
0a0072616e0000 然
0a0079616e675f310000 样
0a006c695f310000 里
0a0074615f69740000 它
0a0067616e5f310000 感
0a0074615f66656d616c650000 她
0a006e765f310000 女
0a0065725f320000 儿
