不丹文	dz
世界文	eo
丹麦文	da
乌克兰文	uk
乌兹别克文	uz
乌尔都文	ur
亚美尼亚文	hy
依地文	yi
俄文	ru
保加利亚文	bg
信德文	sd
僧伽罗文	si
克罗地亚文	hr
冰岛文	is
加利西亚文	gl
加泰罗尼亚文	ca
匈牙利文	hu
南非荷兰文	af
卡纳达文	kn
卢森堡文	lb
印	hi
印地文	hi
印度尼西亚文	id
古吉拉特文	gu
吉尔吉斯文	ky
吉普赛文	rom
哈萨克文	kk
因纽特文	iu
土耳其文	tr
塔吉克文	tg
塔塔尔文	tt
塞内卡文	see
塞尔维亚文	sr
夏威夷文	haw
多种语系	mul
奥里亚文	or
威尔士文	cy
孟加拉文	bn
宿务文	ceb
尼扬扎文	ny
尼泊尔文	ne
巴斯克文	eu
巽他文	su
希伯来文	he
希腊文	el
库尔德文	ku
彻罗基文	chr
德文	de
意大利文	it
意	it
拉丁文	la
拉脱维亚文	lv
挪威尼诺斯克文	nn
挪威文	nb
挪威文	no
捷克文	cs
提格里尼亚文	ti
斯洛伐克文	sk
斯洛文尼亚文	sl
斯瓦希里文	sw
旁遮普文	pa
日文	ja
普什图文	ps
曼尼普里文	mni-Mtei
曼尼普尔文	mni-Mtei
格鲁吉亚文	ka
梵文	sa
毛利文	mi
法文	fr
波兰文	pl
波斯尼亚文	bs
波斯文	fa
泰卢固文	te
泰文	th
泰米尔文	ta
海地文	ht
爪哇文	jv
爪哇文	jw
爱尔兰文	ga
爱沙尼亚文	et
瑞典文	sv
白俄罗斯文	be
祖鲁文	zu
科萨文	xh
科西嘉文	co
立陶宛文	lt
简体中文	zh-CN
简体中文（中国）	zh-Hans
索拉尼库尔德文	ckb
索马里文	so
繁体中文	zh-TW
繁体中文（台湾）	zh-Hant
纳瓦霍文	nv
绍纳文	sn
维吾尔文	ug
缅甸文	my
罗马尼亚文	ro
老挝文	lo
芬兰文	fi
苏格兰盖尔文	gd
英文	en
荷兰文	nl
菲律宾文	fil
菲律宾文	tl
萨摩亚文	sm
葡萄牙文（巴西）	pt-BR
葡萄牙文	pt-PT
蒙古文	mn
蒙	mn
阿	ar
西弗里西亚文	fy
西班牙文	es
赫蒙文	hmn
越南文	vi
阿塞拜疆文	az
阿姆哈拉文	am
阿尔巴尼亚文	sq
阿拉伯文	ar
韩文	ko
马其顿文	mk
马尔加什文	mg
马拉地文	mr
马拉雅拉姆文	ml
马来文	ms
马耳他文	mt
高棉文	km
自动	auto
汉	zh-CN
中	zh-CN
简	zh-CN
繁	zh-Hant
